countrycode,country,year17,pop17,cn17,rgdpna17,capitalpercapita17,rgdppercapita17,year16,pop16,cn16,rgdpna16,capitalpercapita16,rgdppercapita16,growthofcapital,growthofrgdp,ratio
BMU,Bermuda,2017,0.061349001,15402.62109,3269.079834,251065.5577,53286.60275,2016,0.061666001,15013.8623,3188.996338,243470.667,51714.01267,0.0312,0.0304,0.97
BOL,Bolivia (Plurinational State of),2017,11.05160046,164294.0313,72402.47656,14866.08495,6551.311446,2016,10.88788223,151789.4688,69487.33594,13941.138,6382.080046,0.0663,0.0265,0.4
BRA,Brazil,2017,209.2882843,15796820,2943783.5,75478.75913,14065.687,2016,207.6528625,15391632,2915057.25,74121.93509,14038.12697,0.0183,0.0020,0.11
BRB,Barbados,2017,0.285719007,21503.23828,3553.16626,75260.09028,12435.8764,2016,0.284996003,21411.66992,3522.096191,75129.72008,12358.40558,0.0017,0.0063,3.61
BRN,Brunei Darussalam,2017,0.42869699,148226.375,30969.65039,345760.242,72241.35255,2016,0.423195988,142123.0156,30563.53711,335832.6158,72220.76291,0.0296,0.0003,0.01
BTN,Bhutan,2017,0.807609975,48024.53516,7675.961914,59465.00987,9504.540742,2016,0.797765017,43964.08203,7241.365723,55109.06234,9077.066019,0.0790,0.0471,0.6
BWA,Botswana,2017,2.291661024,212073.7188,34754.90234,92541.48695,15165.81291,2016,2.250260115,197279.9375,33953.57031,87669.83702,15088.73134,0.0556,0.0051,0.09
CAF,Central African Republic,2017,4.659080029,19002.35742,3097.77417,4078.564289,664.8896673,2016,4.594621181,18765.80078,2969.242432,4084.297712,646.2431427,-0.0014,0.0289,-20.55
CAN,Canada,2017,36.62419891,8071759,1647159.125,220394.1448,44974.6117,2016,36.28982162,7780588.5,1598448.875,214401.3983,44046.7548,0.0280,0.0211,0.75
CHE,Switzerland,2017,8.476004601,2498143,527023.375,294731.1992,62178.27854,2016,8.40173912,2394404,518638.5625,284989.0916,61729.90557,0.0342,0.0073,0.21
CHL,Chile,2017,18.05472565,1534204.625,399417.2813,84975.23889,22122.58935,2016,17.9097538,1454803.375,393553.7188,81229.66911,21974.26738,0.0461,0.0067,0.15
CHN,China,2017,1409.517456,105849328,18978502,75096.14553,13464.53846,2016,1403.500366,95653080,18191996,68153.22767,12961.87478,0.1019,0.0388,0.38
CIV,C??te d'Ivoire,2017,24.29475021,222651.6094,82774.48438,9164.597595,3407.093452,2016,23.69591904,203248.7969,76855.03906,8577.375562,3243.387139,0.0685,0.0505,0.74
CMR,Cameroon,2017,24.0537262,227089.5781,76432.96875,9440.931366,3177.593697,2016,23.43918991,213989.0781,73813.14844,9129.542401,3149.133938,0.0341,0.0090,0.26
COD,D.R. of the Congo,2017,81.33998871,175908.5781,64167.59375,2162.633422,788.8812719,2016,78.73615265,162494.9844,61878.19141,2063.791269,785.8930024,0.0479,0.0038,0.08
COG,Congo,2017,5.260749817,185260.7969,25838.45117,35215.6638,4911.552929,2016,5.125821114,177012.1094,26666.45898,34533.41532,5202.377998,0.0198,-0.0559,-2.83
COL,Colombia,2017,49.06561661,2444396.25,666578.25,49818.92451,13585.44529,2016,48.65341949,2319055,654997.4375,47664.78953,13462.51598,0.0452,0.0091,0.2
COM,Comoros,2017,0.813911974,10874.83496,2348.947021,13361.19298,2885.996392,2016,0.79560101,10615.76074,2271.236084,13343.07097,2854.742584,0.0014,0.0109,8.06
CPV,Cabo Verde,2017,0.54638797,19293.57227,3500.055908,35311.12197,6405.807041,2016,0.53956002,18257.62891,3365.009521,33837.99435,6236.580541,0.0435,0.0271,0.62
CRI,Costa Rica,2017,4.905768871,230187.25,72173,46921.74785,14711.86309,2016,4.857274055,219424.4063,69940.63281,45174.39283,14399.15311,0.0387,0.0217,0.56
CUW,Cura??ao,2017,0.160539001,,3435.110596,,21397.35871,2016,0.159371004,,3495.931396,,21935.80588,,-0.0245,
CYM,Cayman Islands,2017,0.061558999,17957.61133,2484.402832,291713.8288,40358.07709,2016,0.060764998,17260.28711,2428.392334,284049.8251,39963.66997,0.0270,0.0099,0.37
CYP,Cyprus,2017,0.855153024,172998.5469,23491.50781,202301.2747,27470.53118,2016,0.848318994,172089.3281,22537.80078,202859.2184,26567.60127,-0.0028,0.0340,-12.36
CZE,Czech Republic,2017,10.6183033,2278895.75,324808.625,214619.5758,30589.50341,2016,10.61094666,2205944.75,311460.6563,207893.3032,29352.76808,0.0324,0.0421,1.3
DEU,Germany,2017,82.11422729,19033204,3805884,231789.3577,46348.6551,2016,81.91467285,18550992,3725520.5,226467.2659,45480.5027,0.0235,0.0191,0.81
DJI,Djibouti,2017,0.956984997,14971.65234,3008.423828,15644.60508,3143.64785,2016,0.942332983,13838.83105,2890.20752,14685.71227,3067.076683,0.0653,0.0250,0.38
DMA,Dominica,2017,0.073925003,2761.060791,580.0307617,37349.4848,7846.20541,2016,0.073542997,2596.191895,641.1324463,35301.68734,8717.790549,0.0580,-0.1000,-1.72
DNK,Denmark,2017,5.733551025,1499052.625,274271.6875,261452.7399,47836.26871,2016,5.711870193,1444062.625,268203.9375,252817.8296,46955.53793,0.0342,0.0188,0.55
DOM,Dominican Republic,2017,10.76699829,591542.625,161180.7188,54940.34725,14969.88431,2016,10.64879131,552205.1875,154163.4844,51856.13759,14477.08757,0.0595,0.0340,0.57
DZA,Algeria,2017,41.31814194,2236299.75,581095.3125,54123.91858,14063.92653,2016,40.6060524,2116618,573072.3125,52125.6777,14112.97771,0.0383,-0.0035,-0.09
ECU,Ecuador,2017,16.62485886,957913.125,176741.0938,57619.32377,10631.13349,2016,16.38506889,914111,171596.9375,55789.26802,10472.76265,0.0328,0.0151,0.46
EGY,Egypt,2017,97.55315399,1590623.75,1095920.375,16305.20065,11234.0845,2016,95.68868256,1507216,1051936.5,15751.24623,10993.32201,0.0352,0.0219,0.62
ESP,Spain,2017,46.35432053,10450522,1557162.5,225448.7151,33592.6076,2016,46.34757614,10143846,1512113.875,218864.6493,32625.52221,0.0301,0.0296,0.99
EST,Estonia,2017,1.309631944,185511.0625,35738.45703,141651.2963,27288.93198,2016,1.312441945,175883.4219,34083.97266,134012.3443,25969.88978,0.0570,0.0508,0.89
ETH,Ethiopia,2017,104.9574356,684943.9375,188206.2344,6525.921042,1793.167233,2016,102.4031982,579859,169381.7344,5662.508691,1654.066839,0.1525,0.0841,0.55
FIN,Finland,2017,5.52323103,1102754.375,216303.0781,199657.4775,39162.41725,2016,5.503131866,1108815.25,210417.0469,201488.0393,38235.87222,-0.0091,0.0242,-2.67
FJI,Fiji,2017,0.905502021,22156.63672,7526.878418,24468.89813,8312.381685,2016,0.898760021,21189.62109,7306.006348,23576.50608,8128.984578,0.0379,0.0226,0.6
FRA,France,2017,67.22634888,15062345,2565994.25,224054.1879,38169.47213,2016,66.94789124,14301490,2511711,213621.217,37517.40277,0.0488,0.0174,0.36
GAB,Gabon,2017,2.025136948,101351.9063,34396.78906,50046.93948,16984.92001,2016,1.979786038,95865.15625,34022.19922,48421.97813,17184.78591,0.0336,-0.0116,-0.35
